detected_at,symbol,timeframe,side,bar_time,entry_price,sl_price,tp_price,risk_pct,config_version
2026-07-21 04:03:03,NEAR/USDT,4h,LONG,2026-07-21 00:00:00,2.023,1.973714,2.170857,0.8999999999999999,v3.7.0
2026-07-24 04:01:01,INJ/USDT,4h,LONG,2026-07-24 00:00:00,5.356,5.190786,5.851643,0.8999999999999999,v3.7.0
2026-08-05 04:01:40,NEAR/USDT,4h,SHORT,2026-08-05 00:00:00,1.7,1.742321,1.615357,0.8999999999999999,v3.7.0
2026-08-05 16:00:23,BTC/USDT,4h,LONG,2026-08-05 12:00:00,64353.6,63456.73664,67044.190081,0.8999999999999999,v3.7.1
2026-08-10 00:03:37,AVAX/USDT,4h,SHORT,2026-08-09 20:00:00,6.415,6.55584,6.133321,0.8999999999999999,v3.7.1
2026-08-11 04:01:57,LINK/USDT,4h,LONG,2026-08-11 00:00:00,8.389,8.223947,8.884159,0.8999999999999999,v3.7.1
2026-08-11 16:02:17,AVAX/USDT,4h,SHORT,2026-08-11 12:00:00,6.21,6.411242,5.807517,0.8999999999999999,v3.7.1
2026-08-17 18:04:30,BTC/USDT,2h,LONG,2026-08-17 16:00:00,64293.1,63763.58345,65881.649649,0.8999999999999999,v3.7.1
2026-08-19 16:01:13,ETH/USDT,4h,SHORT,2026-08-19 12:00:00,2085.16,2188.899122,2022.916527,0.8999999999999999,v3.7.1
2026-08-19 20:00:16,ETH/USDT,4h,SHORT,2026-08-19 16:00:00,2100.97,2204.930573,2038.593656,0.8999999999999999,v3.7.1
2026-08-20 16:01:04,NEAR/USDT,4h,LONG,2026-08-20 12:00:00,1.735,1.671337,1.925988,0.8999999999999999,v3.7.1
2026-08-27 12:01:10,BTC/USDT,2h,LONG,2026-08-27 10:00:00,79440.1,78328.053929,82776.238213,0.8999999999999999,v3.7.1
2026-08-27 16:00:13,AVAX/USDT,4h,LONG,2026-08-27 12:00:00,7.516,7.267086,8.262743,0.8999999999999999,v3.7.1
2026-08-30 16:03:42,INJ/USDT,4h,LONG,2026-08-30 12:00:00,5.268,5.084429,5.818712,0.8999999999999999,v3.7.1
2026-09-01 04:00:19,NEAR/USDT,4h,LONG,2026-09-01 00:00:00,1.976,1.891044,2.230867,0.8999999999999999,v3.7.1
2026-09-01 20:01:39,AVAX/USDT,4h,SHORT,2026-09-01 16:00:00,7.228,7.404754,6.874492,0.8999999999999999,v3.7.1
2026-09-02 12:04:04,ETH/USDT,4h,LONG,2026-09-02 08:00:00,2380.58,2302.632035,2439.040974,0.8999999999999999,v3.7.1
2026-09-03 16:02:56,LINK/USDT,4h,LONG,2026-09-03 12:00:00,11.779,11.384746,12.961761,0.8999999999999999,v3.7.1
2026-09-03 20:01:55,NEAR/USDT,4h,LONG,2026-09-03 16:00:00,1.98,1.893761,2.238718,0.8999999999999999,v3.7.1
2026-09-04 08:04:17,NEAR/USDT,4h,LONG,2026-09-04 04:00:00,1.958,1.87313,2.21261,0.8999999999999999,v3.7.1
2026-09-14 20:03:53,BTC/USDT,2h,LONG,2026-09-14 18:00:00,78952.1,78107.133494,81486.999519,0.8999999999999999,v3.7.1
2026-09-15 00:02:59,SOL/USDT,4h,LONG,2026-09-14 20:00:00,102.51,99.968071,110.135787,0.8999999999999999,v3.7.1
2026-09-15 08:01:07,ETH/USDT,4h,LONG,2026-09-15 04:00:00,2472.77,2392.800286,2532.747285,0.8999999999999999,v3.7.1
2026-09-15 12:00:12,ETH/USDT,4h,LONG,2026-09-15 08:00:00,2475.15,2399.429581,2531.940314,0.8999999999999999,v3.7.1
2026-09-15 16:04:44,ETH/USDT,4h,LONG,2026-09-15 12:00:00,2423.27,2331.632304,2491.998272,0.8999999999999999,v3.7.1
2026-09-15 20:03:52,ETH/USDT,4h,LONG,2026-09-15 16:00:00,2415.49,2311.77733,2493.274502,0.8999999999999999,v3.7.1
2026-09-16 00:02:59,ETH/USDT,4h,LONG,2026-09-15 20:00:00,2397.15,2297.377686,2471.979235,0.8999999999999999,v3.7.1
2026-09-16 04:02:09,ETH/USDT,4h,LONG,2026-09-16 00:00:00,2400.77,2307.935328,2470.396004,0.8999999999999999,v3.7.1
2026-09-16 08:01:32,ETH/USDT,4h,LONG,2026-09-16 04:00:00,2395.53,2309.961284,2459.706537,0.8999999999999999,v3.7.1
2026-09-16 12:00:46,ETH/USDT,4h,LONG,2026-09-16 08:00:00,2421.33,2334.370446,2486.549665,0.8999999999999999,v3.7.1
